exp_id,current_state_code,res_access_m,light_i,light_r,light_abs_r,min_temp
21,1,1,0.19,2.2901,2.0656,-1.5381
21,1,1,0.9509,2.0482,1.7889,-1.5381
21,1,1,1.1888,0.6397,0.1777,-1.5381
21,1,1,1.1888,-0.0012,-0.5554,-1.5381
21,1,1,1.1888,-0.0012,-0.5554,-1.5381
21,1,1,1.1888,-0.0012,-0.5554,-1.5381
21,1,1,1.1888,-0.0012,-0.5554,-1.5381
21,3,1,1.1888,-0.0012,-0.5554,-1.5381
21,3,1,0.8833,-0.8241,0.3859,-1.5381
21,3,1,0.1125,-2.0775,1.8196,-1.5381
21,3,1,-0.7446,-2.3097,2.0852,-1.5381
21,1,1,-0.9753,-0.6228,0.1556,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.6494,0.8767,0.4489,-1.5381
21,1,1,0.2027,2.2939,2.0699,-1.5381
21,3,1,0.9654,2.0531,1.7946,-1.5961
21,3,1,1.1888,0.6006,0.133,-1.5961
21,3,1,1.1888,-0.0012,-0.5554,-1.5961
21,3,1,1.1888,-0.0012,-0.5554,-1.5961
21,3,1,1.1888,-0.0012,-0.5554,-1.5961
21,1,1,1.1888,-0.0012,-0.5554,-1.5961
21,1,1,1.1888,-0.0012,-0.5554,-1.5961
21,1,1,0.9039,-0.7685,0.3223,-1.5961
21,3,1,0.1322,-2.0798,1.8223,-1.5961
21,1,1,-0.7256,-2.3117,2.0875,-1.5961
21,1,1,-0.9753,-0.674,0.2142,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.9753,-0.0012,-0.5554,-1.5961
21,1,1,-0.6375,0.9087,0.4855,-1.5961
21,1,1,0.216,2.2977,2.0742,-1.5961
21,1,1,0.9805,2.0581,1.8002,-1.4221
21,1,1,1.1888,0.5599,0.0864,-1.3641
21,3,1,1.1888,-0.0012,-0.5554,-1.3641
21,1,1,1.1888,-0.0012,-0.5554,-1.3641
21,1,1,1.1888,-0.0012,-0.5554,-1.3641
21,1,1,1.1888,-0.0012,-0.5554,-1.3641
21,1,1,1.1888,-0.0012,-0.5554,-1.3641
21,1,1,0.9249,-0.7122,0.2579,-1.3641
21,1,1,0.1522,-2.0823,1.8251,-1.3641
21,1,1,-0.7063,-2.3138,2.0899,-1.3641
21,1,1,-0.9753,-0.7258,0.2735,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.9753,-0.0012,-0.5554,-1.3641
21,1,1,-0.6251,0.9423,0.5239,-1.3641
21,1,1,0.2298,2.3014,2.0786,-1.3641
21,1,1,0.9962,2.063,1.8058,-1.2771
21,1,1,1.1888,0.5176,0.0381,-1.0161
21,3,1,1.1888,-0.0012,-0.5554,-1.0161
21,3,1,1.1888,-0.0012,-0.5554,-1.0161
21,3,1,1.1888,-0.0012,-0.5554,-1.0161
21,3,1,1.1888,-0.0012,-0.5554,-1.0161
21,3,1,1.1888,-0.0012,-0.5554,-1.0161
21,1,1,0.9461,-0.6551,0.1926,-1.0161
21,1,1,0.1725,-2.0849,1.8281,-1.0161
21,1,1,-0.6869,-2.3159,2.0924,-1.0161
21,1,1,-0.9753,-0.7782,0.3333,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0161
21,1,1,-0.9753,-0.0012,-0.5554,-1.0741
21,1,1,-0.612,0.9774,0.564,-1.0741
21,1,1,0.2443,2.3052,2.0829,-1.0741
21,3,1,1.0124,2.0679,1.8115,-1.2191
21,3,1,1.1888,0.4738,-0.012,-1.2191
21,3,1,1.1888,-0.0012,-0.5554,-1.2191
21,3,1,1.1888,-0.0012,-0.5554,-1.2191
21,3,1,1.1888,-0.0012,-0.5554,-1.2191
21,3,1,1.1888,-0.0012,-0.5554,-1.2191
21,3,1,1.1888,-0.0012,-0.5554,-1.2191
21,3,1,0.9675,-0.5973,0.1264,-1.2191
21,1,1,0.1929,-2.0876,1.8312,-1.2191
21,1,1,-0.6673,-2.3182,2.095,-1.2191
21,1,1,-0.9753,-0.831,0.3937,-1.2191
21,1,1,-0.9753,-0.0012,-0.5554,-1.2191
21,1,1,-0.9753,-0.0012,-0.5554,-1.2191
21,1,1,-0.9753,-0.0012,-0.5554,-1.2191
21,1,1,-0.9753,-0.0012,-0.5554,-1.2191
21,1,1,-0.9753,-0.0012,-0.5554,-1.2191
21,1,1,-0.9753,-0.0012,-0.5554,-1.2191
21,1,1,-0.9753,-0.0012,-0.5554,-1.3351
21,1,1,-0.9753,-0.0012,-0.5554,-1.4221
21,1,1,-0.9753,-0.0012,-0.5554,-1.4511
21,1,1,-0.9753,-0.0012,-0.5554,-1.5381
21,1,1,-0.9753,-0.0012,-0.5554,-1.5671
21,1,1,-0.5984,1.014,0.6059,-1.6541
21,1,1,0.2592,2.309,2.0872,-1.6541
21,1,1,1.0293,2.0729,1.8171,-1.6541
21,1,1,1.1888,0.4285,-0.0638,-1.6541
21,1,1,1.1888,-0.0012,-0.5554,-1.6541
21,1,1,1.1888,-0.0012,-0.5554,-1.6541
21,3,1,1.1888,-0.0012,-0.5554,-1.6541
21,1,1,1.1888,-0.0012,-0.5554,-1.6541
21,1,1,1.1888,-0.0012,-0.5554,-1.6541
21,1,1,0.9893,-0.5387,0.0595,-1.6541
21,1,1,0.2136,-2.0905,1.8345,-1.6541
21,1,1,-0.6475,-2.3205,2.0977,-1.6541
21,1,1,-0.9753,-0.8843,0.4547,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.9753,-0.0012,-0.5554,-1.6541
21,1,1,-0.5843,1.0521,0.6495,-1.6541
21,1,1,0.2748,2.3127,2.0915,-1.6251
21,3,1,1.0466,2.0778,1.8228,-1.5961
21,3,1,1.1888,0.3817,-0.1173,-1.3931
21,3,1,1.1888,-0.0012,-0.5554,-1.3931
21,3,1,1.1888,-0.0012,-0.5554,-1.3931
21,3,1,1.1888,-0.0012,-0.5554,-1.3931
21,3,1,1.1888,-0.0012,-0.5554,-1.3931
21,3,1,1.1888,-0.0012,-0.5554,-1.3931
21,3,1,1.0112,-0.4795,-0.0082,-1.3931
21,3,1,0.2344,-2.0935,1.838,-1.3931
21,1,1,-0.6275,-2.323,2.1004,-1.3931
21,1,1,-0.9753,-0.938,0.5162,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.9753,-0.0012,-0.5554,-1.3931
21,1,1,-0.5696,1.0917,0.6948,-1.2771
21,1,1,0.2909,2.3164,2.0957,-1.1321
21,3,1,1.0646,2.0827,1.8284,-1.1031
21,3,1,1.1888,0.3335,-0.1726,-1.1031
21,3,1,1.1888,-0.0012,-0.5554,-1.1031
21,3,1,1.1888,-0.0012,-0.5554,-1.1031
21,1,1,1.1888,-0.0012,-0.5554,-1.1031
21,1,1,1.1888,-0.0012,-0.5554,-1.1031
21,1,1,1.1888,-0.0012,-0.5554,-1.1031
21,1,1,1.0335,-0.4197,-0.0767,-1.1031
21,1,1,0.2555,-2.0967,1.8416,-1.1031
21,1,1,-0.6074,-2.3255,2.1033,-1.1031
21,1,1,-0.9753,-0.9922,0.5782,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,3,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.9753,-0.0012,-0.5554,-1.1031
21,1,1,-0.5543,1.1328,0.7418,-1.1031
21,1,1,0.3075,2.3202,2.1,-1.0451
21,3,1,1.083,2.0877,1.834,-0.9871
21,3,1,1.1888,0.2837,-0.2295,-0.8711
21,3,1,1.1888,-0.0012,-0.5554,-0.8711
21,1,1,1.1888,-0.0012,-0.5554,-0.8711
21,1,1,1.1888,-0.0012,-0.5554,-0.8711
21,1,1,1.1888,-0.0012,-0.5554,-0.8711
21,1,1,1.1888,-0.0012,-0.5554,-0.8711
21,1,1,1.0559,-0.3592,-0.1459,-0.8711
21,1,1,0.2767,-2.1,1.8453,-0.8711
21,1,1,-0.5872,-2.3281,2.1063,-0.8711
21,1,1,-0.9753,-1.0468,0.6406,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
21,3,1,-0.9753,-0.0012,-0.5554,-0.8711
21,1,1,-0.9753,-0.0012,-0.5554,-0.8711
